File,sum.x,sum.y
Solar37701.tif,10638.0695,7124.730864
Solar37702.tif,9262.446079,4865.542743
Solar37703.tif,14151.81241,7627.166776
Solar37705.tif,7460.266585,3410.958788
Solar37706.tif,4687.123337,1321.419333
Solar37707.tif,18745.28632,8119.381618
Solar37708.tif,13853.42654,5407.270765
Solar37709.tif,4360.811981,1702.816952
Solar37710.tif,8828.540745,3491.416853
Solar38464.tif,11426.07402,3411.399687
Solar38465.tif,10619.93726,4578.509335
Solar38468.tif,5628.146368,2832.647657
Solar51483.tif,2130.611504,1857.193605
Solar58731.tif,23606.75748,16146.79444
Solar59570.tif,23532.80558,16926.49441
Solar59571.tif,23335.19152,19556.09013
Solar60401.tif,8972.173113,5253.553497
Solar62046.tif,10714.65228,13023.92535
Solar62047.tif,9623.706883,11069.4146
Solar62049.tif,8922.250705,6899.916231
Solar62055.tif,10528.40614,8193.596426
Solar62881.tif,7244.109708,5278.509989
Solar64495.tif,18736.03263,15823.14787
Solar64496.tif,11872.41644,11301.77108
Solar65228.tif,18451.27719,11137.21622
Solar65972.tif,4245.324517,4300.624043
Solar65976.tif,17414.93881,10682.78131
Solar65978.tif,16861.0307,13138.05549
Solar66720.tif,5222.914078,3102.352453
Solar66721.tif,3355.86433,3457.467802
Solar66722.tif,11537.1206,7012.359716
Solar66723.tif,11538.46891,8292.953159
Solar66726.tif,15095.04834,11712.00035
Solar67480.tif,3854.983956,4092.017751
Solar67498.tif,8208.686181,6211.824444
Solar68366.tif,6325.038018,5135.921422
Solar68372.tif,7437.483638,5928.283472
Solar68377.tif,16303.28019,7395.298748
Solar68378.tif,6945.557777,9652.880956
Solar68379.tif,4986.968864,7112.20606
Solar68395.tif,3830.08512,6614.080777
Solar68400.tif,3934.511196,5533.232404
Solar69283.tif,11892.38466,4124.87927
Solar69284.tif,12192.5261,3440.990793
Solar69285.tif,10641.70179,12009.99112
Solar70163.tif,8940.96862,2896.714957
Solar70164.tif,18668.97585,7514.552951
Solar70166.tif,6835.179588,2138.064622
Solar70167.tif,15693.13504,5338.46632
Solar70181.tif,14184.8141,1797.955123
Solar70190.tif,4665.201002,16094.09041
Solar70973.tif,3951.355225,2562.943527
Solar70974.tif,2435.753959,1358.119936
Solar70980.tif,16638.52206,18862.28096
Solar70981.tif,15271.7985,15907.57087
Solar70982.tif,21158.3406,26451.72494
Solar70983.tif,19971.16578,25254.9698
Solar70984.tif,11802.09045,10778.45955
Solar70986.tif,25976.49974,12145.22069
Solar70988.tif,16787.94552,5561.208998
Solar70989.tif,25587.41654,8779.838069
Solar70993.tif,28372.10264,8982.497699
Solar71004.tif,8376.264611,12.89209342
Solar71006.tif,2086.625867,1165.245247
Solar71767.tif,955.573336,1138.80369
Solar71768.tif,7200.364869,3715.437646
Solar71769.tif,7285.201825,2650.764795
Solar71774.tif,18081.02483,23398.71513
Solar71777.tif,20173.45577,13786.13079
Solar71781.tif,16669.62399,5926.601116
Solar71782.tif,16647.10762,6428.218086
Solar71783.tif,19958.05085,10176.277
Solar72530.tif,9909.03947,3734.664518
Solar72533.tif,28366.38486,12373.59858
Solar72534.tif,25215.72857,13149.62853
Solar72536.tif,25285.79958,10939.79407
Solar72538.tif,21017.93132,9246.607331
Solar72541.tif,23704.47987,4994.863039
Solar72543.tif,28490.57439,2147.627977
Solar73255.tif,3262.877743,224.1299631
Solar73256.tif,17765.34344,4562.454419
Solar73257.tif,1098.169992,27.66104129
Solar73258.tif,15965.27589,1386.753459
Solar73259.tif,32970.23433,6017.078117
Solar73260.tif,21208.89925,1722.489339
Solar73982.tif,2048.398389,2419.796784
Solar73984.tif,603.5318623,1107.470272
Solar73987.tif,4384.227598,325.365268
Solar73988.tif,7654.764202,1074.474933
Solar73989.tif,46743.52775,7351.36541
Solar73991.tif,22672.73677,1864.309285
Solar73997.tif,7260.2681,5368.947619
Solar74711.tif,539.7469822,3439.508539
Solar74712.tif,766.0680749,1361.888818
Solar75466.tif,63.10902558,2415.421261
Solar75468.tif,2163.826335,3613.485855
Solar76231.tif,847.9739998,3453.153609
Solar76234.tif,5649.188614,6790.43572
Solar76238.tif,6497.373193,2287.254032
Solar76239.tif,9195.417331,6460.494797
Solar76979.tif,5509.138245,3064.892005
Solar76981.tif,7942.794486,3469.966473
Solar77691.tif,11322.96415,11158.97746
Solar77693.tif,2130.301993,1908.937911
Solar77711.tif,20561.65295,13076.63932
Solar78421.tif,8383.169998,3202.55241
Solar78434.tif,23688.32982,3349.272946
Solar78446.tif,13335.78536,3601.274028
Solar79181.tif,208.0711999,883.2119711
Solar79182.tif,6560.621469,3372.254065
Solar79198.tif,19585.26732,2797.547314
Solar79201.tif,9152.47283,2068.988199
Solar79890.tif,27609.91516,1823.034916
Solar79893.tif,29990.84516,1315.101853
Solar79903.tif,29361.41294,3859.118971
Solar79905.tif,17963.74491,2648.509948
Solar79908.tif,4352.123156,1046.194249
Solar79910.tif,12631.51297,2165.399225
Solar79919.tif,7189.320409,895.9253853
Solar80640.tif,11148.28671,2284.927368
Solar81353.tif,10435.26609,2187.293312
Solar81355.tif,11849.02171,762.8465595
Solar81356.tif,9829.279486,466.5203342
South_Creek-8hr.tif,34848.93461,33376.7546
Spuzzum_Creek-8hr.tif,742.1846189,854.2391509
Squamish_River_B-8hr.tif,15461.47237,33665.78097
T_2L129.tif,3352.876542,1132.835338
T_5L003.tif,7176.793999,5441.080316
T_5L007.tif,3156.570938,1339.481737
T_5L013.tif,16212.38248,8958.210548
T_5L042.tif,8458.565011,9787.307519
T_5L061.tif,7143.549249,5579.297112
T_5L062.tif,2068.584047,3987.895958
T_5L063.tif,4743.346371,5824.380536
