"number" "dsum" "count" "missing" "quant_error" "fname"
92 26.0 26 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_porsilds_bryum.tif"
93 9.0 9 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_prairies_lupine.tif"
94 4.0 4 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_purple_sanicle.tif"
95 1.65247e+06 1652467 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_reindeer.tif"
96 2.0 2 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_rigid_applemoss.tif"
97 275.0 275 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_rockymtn_tailed_frog.tif"
98 4.0 4 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_roells_brotherella_moss.tif"
99 27.0 27 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_rosy_owlclover.tif"
100 3.0 3 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_rusty_cordmoss.tif"
101 68.0 68 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_sage_thrasher.tif"
102 4793.0 4793 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_sand_martin.tif"
103 62.0 62 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_sandverbena_moth.tif"
104 6.0 6 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_seaside_birdsfoot_trefoil.tif"
105 4.0 4 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_seaside_bone_lichen.tif"
106 14.0 14 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_seaside_centipede_lichen.tif"
107 32.0 32 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_sharptailed_snake.tif"
108 1.0 1 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_shortrayed_alkali_aster.tif"
