"","BC Hydro Names","Project Type","Region","In 2021?","Latitude","Longitude","Installed Capacity (MW)","Dependable Generating Capacity (MW)","Effective Load-Carrying Capacity (MW)","Annual Firm Energy (GWh/yr)","UEC ($/MWh)","UCC ($/kW-yr)","R1 Length (km)","T1 Length (km)","Linear Features (km)","Line Voltage","Linear Area (ha)","ATG (ha)","ATG/Linear Ratio","Plateau or Ridgeline - WIND","Number of Turbines - WIND","Footprint of Plant (ha) - SOLAR","Footprint of Panels (ha) - SOLAR","Raw Terrestrial Score","Terrestrial % of Summed Score","Raw Freshwater Score","Freshwater % of Summed Score","Summed Raw Scores","Terrestrial Proportion of Scaled Score","Freshwater Proportion of Scaled Score","Scaled Summed Score","Notes"
"219","Solar36889","Solar","Central Interior",NA,"53.864087849999997","-122.92457210000001","56.226461540000003","NA","NA","88.359315530000003","156.55513719999999","NA","0.3","39.700000000000003",40,130,1600,"228.42","0.14276249999999999","NA","NA","228.42","91.367999999999995",575,0.507502206531333,558,0.492497793468667,1133,0.0525354042941983,0.0509821836455002,0.103517587939698,NA
"220","VI10","Onshore Wind","Vancouver Island",NA,"50.701239829999999","-128.19938149999999","33","NA","8.4","100.50348","115.04631020901492","NA","0.14142135620100002","50.245585937500003",50.387007293701,69,2015.48029174804,"14.57189","7.2299838701780092E-3","R","NA","NA","NA",369,0.322270742358079,776,0.677729257641921,1145,0.0337140246687985,0.0708999543170397,0.104613978985838,NA
"221","Solar35272","Solar","Central Interior",NA,"54.068912679999997","-122.9393031","110.2596923","NA","NA","177.839686","124.6004799","NA","2.1","24.3",26.4,130,1056,"447.93","0.42417613636363627","NA","NA","447.93","179.172",508,0.442123585726719,641,0.557876414273281,1149,0.0464138876199178,0.0585655550479671,0.104979442667885,NA
"222","Solar37698","Solar","Central Interior",NA,"53.802457949999997","-122.9864738","87.529846149999997","NA","NA","135.9920813","146.15374199999999","NA","0","27.5",27.5,230,1100,"355.59","0.32326363636363636","NA","NA","355.59","142.23599999999999",597,0.519130434782609,553,0.480869565217391,1150,0.0545454545454545,0.050525354042942,0.105070808588397,NA
"223","Solar23228","Solar","Central Interior",NA,"55.533124950000001","-123.55083380000001","19.938461539999999","NA","NA","31.812067460000002","268.02239420000001","NA","0.8","40.700000000000003",41.5,130,1660,"81","4.879518072289156E-2","NA","NA","81","32.4",639,0.553726169844021,515,0.446273830155979,1154,0.0583828232069438,0.0470534490634993,0.105436272270443,NA
"224","Solar59571","Solar","Kelly Nicola",NA,"51.216091339999998","-122.1119056","39.876923079999997","NA","NA","69.346494949999993","143.15071119999999","NA","1.2","46",47.2,69,1888,"162","8.5805084745762705E-2","NA","NA","162","64.8",646,0.559307359307359,509,0.440692640692641,1155,0.0590223846505254,0.0465052535404294,0.105527638190955,NA
"225","Solar36887","Solar","Central Interior",NA,"53.911793189999997","-122.9501451","79.953230770000005","NA","NA","125.1369","141.2623447","NA","0.6","36.299999999999997",36.9,130,1476,"324.81","0.2200609756097561","NA","NA","324.81","129.92400000000001",576,0.497839239412273,581,0.502160760587727,1157,0.0526267702147099,0.0530835998172682,0.105710370031978,NA
"226","Anudol_Creek_A-8hr","Small Storage Hydro","North Coast","y","55.12","-129.53","160","40","3","345","92.74","NA","6.1449999999999996","41.758800000000001",47.9038,69,1916.152,"56.9","2.9694930256054838E-2","NA","NA","NA","NA",392,0.337639965546942,769,0.662360034453058,1161,0.0358154408405665,0.0702603928734582,0.106075833714025,NA
"227","PC14","Onshore Wind","Peace River","y","54.607456880000001","-120.4986409","144","NA","34.799999999999997","640.30781999999999","53.724829135258389","NA","8","75.900000000000006",83.9,230,3356,"18.45","5.49761620977354E-3","R","NA","NA","NA",613,0.524828767123288,555,0.475171232876712,1168,0.0560073092736409,0.0507080858839653,0.106715395157606,NA
"228","Solar73259","Solar","Revelstoke",NA,"49.953810519999998","-119.39450530000001","215.3353846","NA","NA","363.71438849999998","142.83881220000001","NA","0","80.7",80.7,230,3228,"874.8","0.27100371747211893","NA","NA","874.8","349.92",817,0.694727891156463,359,0.305272108843537,1176,0.0746459570580174,0.032800365463682,0.107446322521699,NA
"229","SI14","Onshore Wind","Revelstoke","y","50.190878660000003","-119.67523540000001","81","NA","20.399999999999999","258.37619999999998","85.143636170844871","NA","0.1","36.799999999999997",36.9,130,1476,"10.814932709982862","7.3271901829152185E-3","P","17","NA","NA",795.3,0.674800817940385,383.27,0.325199182059615,1178.57,0.0726633165829146,0.0350178163544998,0.107681132937414,NA
"230","Ball_Creek-8hr","Small Storage Hydro","North Coast","y","57.26","-130.32","43.2","40","2","46","363.72","NA","3.7970562748452998","36.497100000000003",40.2941562748453,69,1611.76625099381,"139.30000000000001","8.6426924446462286E-2","NA","NA","NA","NA",520,0.438448566610455,666,0.561551433389545,1186,0.0475102786660576,0.0608497030607583,0.108359981726816,NA
"231","SI06","Onshore Wind","Kelly Nicola","y","50.438525319999997","-121.0431569","129","NA","31.2","320.00280000000004","89.222821877244428","NA","1.6899497070299998","17.96984765625",19.65979736328,130,786.3918945312,"16.54048532115026","2.1033387343101638E-2","P","26","NA","NA",616.29,0.51035973367783,591.27,0.48964026632217,1207.56,0.0563079031521243,0.0540219278209228,0.110329830973047,NA
"232","Solar72533","Solar","Kelly Nicola",NA,"49.876849610000001","-120.5844127","21.932307689999998","NA","NA","39.329877789999998","159.4239427","NA","0.3","32.6",32.9,69,1316,"89.1","6.770516717325227E-2","NA","NA","89.1","35.64",788,0.651778329197684,421,0.348221670802316,1209,0.0719963453631795,0.0384650525354043,0.110461397898584,NA
"233","Solar58731","Solar","Kelly Nicola",NA,"51.32422571","-122.0755568","35.291076920000002","NA","NA","61.747177309999998","148.3183689","NA","1.9","48.5",50.4,69,2016,"143.37","7.1116071428571431E-2","NA","NA","143.37","57.347999999999999",694,0.567921440261866,528,0.432078559738134,1222,0.0634079488350845,0.0482412060301508,0.111649154865235,NA
