"","BC Hydro Names","Project Type","Region","Latitude","Longitude","Installed Capacity (MW)","Dependable Generating Capacity (MW)","Effective Load-Carrying Capacity (MW)","Annual Firm Energy (GWh/yr)","UEC ($/MWh)","UCC ($/kW-yr)","R1 Length (km)","T1 Length (km)","Linear Features (km)","Line Voltage","Plateau or Ridgeline - WIND","Number of Turbines - WIND","Footprint of Plant (ha) - SOLAR","Footprint of Panels (ha) - SOLAR","ATG (ha)","Raw Terrestrial Score","Terrestrial % of Summed Score","Raw Freshwater Score","Freshwater % of Summed Score","Summed Raw Scores","Terrestrial Proportion of Scaled Score","Freshwater Proportion of Scaled Score","Scaled Summed Score","Notes"
"87","Ball_Creek-8hr","Small Storage Hydro","North Coast",57.26,-130.32,43.2,"40","2","46","363.72","NA",3.7970562748453,36.4971,40.2941562748453,69,"NA","NA","NA","NA",139.3,1185,0.439866369710468,1509,0.560133630289532,2694,0.0502186294761218,0.0639492927252893,0.114167922201411,NA
"88","BC18","Onshore Wind","North Coast",54.7122,-126.671,170,"NA","40.799999999999997","481.60728","78.565597635227192","NA",94.62775,535.2341875,629.8619375,230,"P","73","NA","NA",46.4405934016911,1438.8152,0.524188676492951,1306.027,0.475811323507049,2744.8422,0.0609808598385425,0.0553529386069539,0.116333798445496,NA
"89","SI04","Onshore Wind","Kelly Nicola",50.6319848,-121.1327119,96,"NA","24","279.7944","84.949897322398115","NA",2.2,28.8,31,130,"Both","20","NA","NA",12.7234502470387,1484.0112,0.531575831764826,1307.7094,0.468424168235174,2791.7206,0.0629018024301312,0.0554290144945169,0.118330816924648,NA
"90","PC36","Onshore Wind","Peace River",55.96057455,-120.8663783,171,"NA","42","456.5274","91.951307550862538","NA",4.40416308594,72.4940234375,76.89818652344,230,"R","NA","NA","NA",22.27,2326,0.828052687789249,483,0.171947312210751,2809,0.0985936821913237,0.0204732366717151,0.119066918863039,NA
"91","Solar71774","Solar","Kelly Nicola",49.89899954,-120.7697282,49.4473846154,"NA","NA","89.402938088887296","104.10619883880203","NA",0,25.5,25.5,69,"NA","NA","624.51","249.804",624.51,1377,0.487088786699682,1450,0.512911213300318,2827,0.0583696604721909,0.0614640578683201,0.119833718340511,NA
"92","Upper Misery - Lower Misery","Pumped Storage","Lower Mainland",49.7558100009,-123.601969999,1000,"NA","495","NA","NA","170.55434646464647",0.424264068604,31.4308657865133,31.8551298551173,500,"NA","NA","NA","NA",31.43,1178,0.41102581995813,1688,0.58897418004187,2866,0.0499376301714783,0.0715574870368891,0.121495117208367,NA
"93","SI20","Onshore Wind","Kelly Nicola",51.0256605,-122.1550052,39,"NA","9.6","124.21679999999999","88.564118456528348","NA",1.1,30,31.1,69,"R","NA","NA","NA",5.09,1426,0.493767313019391,1462,0.506232686980609,2888,0.0604530759793711,0.0619792405903511,0.122432316569722,NA
"94","NC11","Onshore Wind","Central Interior",53.18764197,-121.9923874,75,"NA","18","212.47380000000001","98.4377501225039","NA",1.89705651855,36.52569140625,38.4227479248,230,"R","NA","NA","NA",111.0924,1342,0.454915254237288,1608,0.545084745762712,2950,0.0568978497699021,0.068175665000002,0.125073514769904,NA
"95","SI19","Onshore Wind","Kelly Nicola",51.17571966,-122.474124,54,"NA","13.2","160.05395999999999","89.798275246286522","NA",2.6,38.5,41.1,69,"R","NA","NA","NA",7,1369,0.460013440860215,1607,0.539986559139785,2976,0.0580450084296804,0.0681361055854613,0.126181114015142,NA
"96","SI23","Onshore Wind","Kelly Nicola",50.15293837,-121.2738812,192,"NA","46.8","671.15178000000003","77.926025114283874","NA",2.7,80.9,83.6,230,"R","NA","NA","NA",24.81,1287,0.419354838709677,1782,0.580645161290323,3069,0.0545760595838835,0.075566851731531,0.130142911315415,NA
"97","PC28","Onshore Wind","Peace River",55.43854724,-122.1718735,153,"NA","36","694.58039999999994","50.959020257979866","NA",4.9,45.67493359375,50.57493359375,130,"R","NA","NA","NA",19.09,1648,0.53058596265293,1458,0.46941403734707,3106,0.0698883109071832,0.0618307993341463,0.13171911024133,NA
"98","PC39","Onshore Wind","Peace River",55.729119,-121.801336,186,"NA","45.6","549.25199999999995","76.208568497958495","NA",8.53,26.352185546875,34.882185546875,230,"R","NA","NA","NA",24.17,1694,0.541906589891235,1432,0.458093410108765,3126,0.0718411579543502,0.0607299517063928,0.132571109660743,NA
"99","NC08","Onshore Wind","North Coast",54.28076156,-125.5268817,195,"NA","46.8","516.38886000000002","84.12008727319369","NA",1.48994958496,42.6198046875,44.10975427246,230,"P","39","NA","NA",24.8107279817254,1204.8052,0.382840093073465,1942.2142,0.617159906926535,3147.0194,0.0510963408694005,0.0823701946211636,0.133466535490564,NA
"100","Solar72534","Solar","Kelly Nicola",49.88940799,-120.5026211,93.1126153846,"NA","NA","170.19574378574288","100.34437055329255","NA",0.3,34.9,35.2,130,"NA","NA","169.29000000000002","67.716000000000008",169.29,1836,0.580278128950695,1328,0.419721871049305,3164,0.0778674690618857,0.056322439495743,0.134189908557629,NA
"101","SI14","Onshore Wind","Revelstoke",50.19087866,-119.6752354,81,"NA","20.399999999999999","258.37619999999998","85.143636170844871","NA",0.1,36.8,36.9,130,"P","17","NA","NA",10.8149327099829,2269,0.710325792223789,925.3089,0.289674207776211,3194.3089,0.096235696118665,0.0392453706991169,0.135481066817782,NA
"102","PC25","Onshore Wind","Central Interior",55.22798306,-123.4267257,117,"NA","38.4","477.38496000000004","83.356993131118287","NA",1.64852832031,24.594826171875,26.243354492185,130,"R","NA","NA","NA",20.36,1643,0.511678604796014,1568,0.488321395203986,3211,0.0696865873928715,0.0665055198003789,0.13619210719325,NA
"103","VI10","Onshore Wind","Vancouver Island",50.70123983,-128.1993815,33,"NA","8.4","100.50348","115.04631020901492","NA",0.141421356201,50.2455859375,50.387007293701,69,"R","NA","NA","NA",14.57189,1122,0.34833902514747,2099,0.65166097485253,3221,0.0475894181760689,0.0890286887268883,0.136618106902957,NA
"104","PC16","Onshore Wind","Peace River",54.66019671,-120.6468671,99,"NA","24","455.60760000000005","62.647886314441195","NA",7.49411328125,66.3146328125,73.80874609375,230,"R","NA","NA","NA",12.72,1770,0.547987616099071,1460,0.452012383900929,3230,0.0750751290265626,0.0619263776151307,0.137001506641693,NA
"105","Kenyon - Stave","Pumped Storage","Lower Mainland",49.4020250605,-122.2587474,1000,"NA","495","NA","NA","169.30148060606061",1.4,39.6,41,500,"NA","NA","NA","NA",42.72,1236,0.374545454545455,2064,0.625454545454545,3300,0.0524301853628836,0.087553319246757,0.139983504609641,NA
"106","SI27","Onshore Wind","Lower Mainland",49.82736949,-121.2436138,87,"NA","21.599999999999998","271.44612000000001","100.79640958290931","NA",1.02426416016,76.3940234375,77.41828759766,130,"R","NA","NA","NA",127.3528,1539,0.466081162931557,1763,0.533918837068443,3302,0.0652833847077179,0.074785319843864,0.140068704551582,NA
"107","Solar70982","Solar","Kelly Nicola",49.96830845,-120.9772438,54.2326153846,"NA","NA","98.156171299313655","101.42689224013247","NA",1.6,23.6,25.2,69,"NA","NA","374.21999999999997","149.68799999999999",374.22,1580,0.471923536439665,1768,0.528076463560335,3348,0.0670264991283298,0.0750018040879032,0.142028303216233,NA
"108","PC19","Onshore Wind","Peace River",54.92472511,-121.4223738,117,"NA","27.599999999999998","536.13828000000001","54.493656577696221","NA",3.4455847168,33.0587890625,36.5043737793,230,"R","NA","NA","NA",14.63,1739,0.511320199941194,1662,0.488679800058806,3401,0.0737763983585662,0.0705097033191127,0.144286101677679,NA
