,File,ter,fw
304,Solar78421.tif,240,175
305,Solar78434.tif,731,320
306,Solar78446.tif,390,182
307,Solar79181.tif,6,40
308,Solar79182.tif,194,166
309,Solar79198.tif,582,205
310,Solar79201.tif,207,98
311,Solar79890.tif,680,113
312,Solar79893.tif,802,128
313,Solar79903.tif,766,257
314,Solar79905.tif,486,186
315,Solar79908.tif,200,80
316,Solar79910.tif,562,269
317,Solar79919.tif,185,80
318,Solar80640.tif,291,64
319,Solar81353.tif,264,96
320,Solar81355.tif,412,148
321,Solar81356.tif,309,81
322,South_Creek-8hr.tif,1081,1087
323,Spuzzum_Creek-8hr.tif,19,27
324,Squamish_River_B-8hr.tif,530,936
325,T_2L129.tif,971,606
326,T_5L003.tif,2444,1774
327,T_5L007.tif,1575,1275
328,T_5L013.tif,6188,4757
329,T_5L042.tif,3517,3682
330,T_5L061.tif,2727,2605
331,T_5L062.tif,1341,2258
332,T_5L063.tif,2108,2386
333,Upper Clore - storage for 16 hrs of generation.tif,901,798
334,Upper Deserted - Un-named.tif,839,1246
335,Upper Misery - Lower Misery.tif,476,662
336,Upper Vancouver - Lower Vancouver.tif,710,787
337,VI02.tif,1647,3580
338,VI04.tif,1262,3081
339,VI05.tif,1435,3164
340,VI06.tif,1227,2991
341,VI07.tif,1015,2507
342,VI08.tif,205,332
343,VI09.tif,1562,3187
344,VI10.tif,369,776
345,VI11.tif,157,224
346,VI12.tif,137,182
347,VI13.tif,92,191
348,VI14.tif,157,190
349,VI15.tif,392,442
350,WBBio_CB_RR.tif,892,808
351,WBBio_LM_RR.tif,98,83
352,WBBio_LM_ST_1.tif,98,83
353,WBBio_LM_ST_2.tif,98,83
354,WBBio_NE_ST_1.tif,3028,2976
355,WBBio_NE_ST_2.tif,3028,2976
356,WBBio_NE_ST_3.tif,3028,2976
357,WBBio_NW_ST.tif,1356,2974
358,WBBio_SP_RR.tif,1,1
359,WBBio_SP_ST.tif,1,1
360,WBBio_WPR_PL.tif,47,57
361,Zymoetz_River-8hr.tif,110,304
